sample_id,sample_type,top_bottom,latitude,longitude,mountain_range,depth_cm,site_name,notes
Calder.Blank3,blank,,,,,,,
Calder.JC7_Blank1,blank,,,,,,,
Calder.JC7_Blank2,blank,,,,,,,
Calder.JC7_Blank3,blank,,,,,,,
Calder.JC7_Blank4,blank,,,,,,,
Calder.JC7_Blank5,blank,,,,,,,
Calder.JC7_Blank6,blank,,,,,,,
Calder.JC7_Blank7,blank,,,,,,,
Calder.JC_Blank1,blank,,,,,,,
Calder.JC_Blank2,blank,,,,,,,
Calder.JC_Blank3,blank,,,,,,,
MAWC.BLANK,blank,,,,,,,
MAWC.BLANK1_DG1,blank,,,,,,,
MAWC.BLANK2_DG2,blank,,,,,,,
MAWC.BLANK3_DG3,blank,,,,,,,
MAWC.BLANK4_DG4_BLANK4_DG4,blank,,,,,,,
MAWC.CB1A_S,peat,,,,,,,
MAWC.CB1B_S,peat,,,,,,,
MAWC.CB2B_S,peat,,,,,,,
MAWC.CB3A_S,peat,,,,,,,
MAWC.CB3B_S,peat,,,,,,,
MAWC.CB4B_S,peat,,,,,,,
MAWC.CB5B_S,peat,,,,,,,
MAWC.CC1A,peat,,,,,,,
MAWC.CC1B,peat,,,,,,,
MAWC.CC2A,peat,,,,,,,
MAWC.CC2B,peat,,,,,,,
MAWC.CC3A,peat,,,,,,,
MAWC.CC3B,peat,,,,,,,
MAWC.CC4A,peat,,,,,,,
MAWC.CC4B,peat,,,,,,,
MAWC.CL1A,peat,,,,,,,
MAWC.CL1B,peat,,,,,,,
MAWC.CL2A,peat,,,,,,,
MAWC.CL2B,peat,,,,,,,
MAWC.CL3A,peat,,,,,,,
MAWC.CL3B,peat,,,,,,,
MAWC.CL4A,peat,,,,,,,
MAWC.CL4B,peat,,,,,,,
MAWC.CL5A,peat,,,,,,,
MAWC.CL5B,peat,,,,,,,
MAWC.CO1A,peat,,,,,,,
MAWC.CO1B,peat,,,,,,,
MAWC.CO2A,peat,,,,,,,
MAWC.CO2B,peat,,,,,,,
MAWC.CO3A,peat,,,,,,,
MAWC.CO3B,peat,,,,,,,
MAWC.CO4A,peat,,,,,,,
MAWC.CO4B,peat,,,,,,,
MAWC.CP1A,peat,,,,,,,
MAWC.CP1B,peat,,,,,,,
MAWC.CP2A,peat,,,,,,,
MAWC.CP2B,peat,,,,,,,
