"","sample_comparison","comm"
"1","sediment",0.0677394488340721
"2","sediment",0.21757564077857
"3","peat-sediment",0.00925033725187896
"4","peat-sediment",0.00395066486799001
"5","soil-sediment",0.00279437271150507
"6","sediment",0.251589901715167
"7","soil-sediment",0.0047215263056466
"8","sediment",0.127866640971285
"9","peat-sediment",0.0799768741568703
"10","peat-sediment",0.0295818076700713
"11","sediment",0.137309693582578
"12","sediment",0.0399884370784351
"13","peat-sediment",0.0122374253227983
"14","sediment",0.0827712468683754
"15","soil-sediment",0.00269801503179801
"16","sediment",0.0748699171323954
"17","soil-sediment",0.00231258431296977
"18","sediment",0.301310464444016
"19","peat-sediment",0.0152245133937174
"20","sediment",0.0810368086336481
"21","sediment",0.204181923299287
"22","sediment",0.2057236461746
"23","sediment",0.0825785315089612
"24","sediment",0.142416650607053
"25","peat-sediment",0.00684139525920213
"26","soil-sediment",0.00491424166506071
"27","peat-sediment",0.0228367700905762
"28","peat-sediment",0.0211023318558489
"29","peat-sediment",0.0112738485257275
"30","sediment",0.0320871073424552
"31","sediment",0.175949123145115
"32","sediment",0.0914434380420119
"33","sediment",0.325399884370784
"34","sediment",0.0975139718635575
"35","peat-sediment",0.0259202158412025
"36","peat-sediment",0.0173443823472731
"37","sediment",0.156195798805165
"38","peat-sediment",0.023896704567354
"39","sediment",0.343033339757179
"40","sediment",0.302755829639622
"41","sediment",0.137984197340528
"42","sediment",0.231451146656389
"43","sediment",0.0239930622470611
"44","peat-sediment",0.00366159182886872
"45","sediment",0.0757371362497591
"46","sediment",0.0345924070148391
"47","soil-sediment",0.0029870880709193
"48","peat-sediment",0.0779533628830218
"49","sediment",0.0659086529196377
"50","peat-sediment",0.00770861437656578
"51","sediment",0.476103295432646
"52","peat-sediment",0.0699556754673347
"53","sediment",0.118230873000578
"54","soil-sediment",0.000674503757949529
"55","peat-sediment",0.010502987088071
"56","peat-sediment",0.00761225669685872
"57","soil-sediment",0.00395066486799001
"58","sediment",0.190884563499711
"59","sediment",0.199556754673347
"60","soil-sediment",0.0034688764694546
"61","sediment",0.299286953170168
"62","sediment",0.161784544228175
"63","peat-sediment",0.0181152437849297
"64","soil-sediment",0.00337251878974754
"65","peat-sediment",0.00838311813451531
"66","peat-sediment",0.00819040277510119
"67","sediment",0.067643091154365
"68","peat-sediment",0.00761225669685872
"69","peat-sediment",0.00944305261129308
"70","sediment",0.198111389477741
"71","sediment",0.0797841587974562
"72","peat-sediment",0.00780497205627284
"73","peat-sediment",0.0460589708999807
