"","sample_id","sample_type","surface_or_deep","sample_type_depth","sample_number","site_name","mountain_range","latitude","longitude","elevation","notes","depth_start","depth_end","measured_temperature","temperature_type","Tann","Tmin","Tmax","MAP","climate_data_source","Tann_snotel","Tmin_snotel","Tmax_snotel","MAP_snotel"
"MAWC.CB1A_S","MAWC.CB1A_S","peat","surface","peat_surface",1,"Clay Butte fen",NA,44.936944,-109.61247,2742,"",3,5,14,"system water temperature",0.8,-5.1,6.8,860.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CB1B_S","MAWC.CB1B_S","peat","deep","peat_deep",2,"Clay Butte fen",NA,44.936944,-109.61247,2742,"",5,7,14,"system water temperature",0.8,-5.1,6.8,860.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CB2B_S","MAWC.CB2B_S","peat","deep","peat_deep",3,"Clay Butte fen",NA,44.936944,-109.61247,2742,"",5,7,14,"system water temperature",0.8,-5.1,6.8,860.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CB3A_S","MAWC.CB3A_S","peat","surface","peat_surface",4,"Clay Butte fen",NA,44.936944,-109.61247,2742,"",3,5,14,"system water temperature",0.8,-5.1,6.8,860.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CB3B_S","MAWC.CB3B_S","peat","deep","peat_deep",5,"Clay Butte fen",NA,44.936944,-109.61247,2742,"",13,15,14,"system water temperature",0.8,-5.1,6.8,860.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CB4B_S","MAWC.CB4B_S","peat","deep","peat_deep",6,"Clay Butte fen",NA,44.936944,-109.61247,2742,"",5,7,14,"system water temperature",0.8,-5.1,6.8,860.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CB5B_S","MAWC.CB5B_S","peat","deep","peat_deep",7,"Clay Butte fen",NA,44.936944,-109.61247,2742,"",5,7,14,"system water temperature",0.8,-5.1,6.8,860.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CC1B","MAWC.CC1B","peat","deep","peat_deep",9,"Canyon Creek",NA,44.135311,-107.12094,2741,"",14,16,14.6,"system water temperature",1.1,-4.8,6.9,643.32,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CC2A","MAWC.CC2A","peat","surface","peat_surface",10,"Canyon Creek",NA,44.135311,-107.12094,2741,"",3,5,14.6,"system water temperature",1.1,-4.8,6.9,643.32,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CC2B","MAWC.CC2B","peat","deep","peat_deep",11,"Canyon Creek",NA,44.135311,-107.12094,2741,"",13,15,14.6,"system water temperature",1.1,-4.8,6.9,643.32,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CC3A","MAWC.CC3A","peat","surface","peat_surface",12,"Canyon Creek",NA,44.135311,-107.12094,2741,"",3,5,14.6,"system water temperature",1.1,-4.8,6.9,643.32,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CC3B","MAWC.CC3B","peat","deep","peat_deep",13,"Canyon Creek",NA,44.135311,-107.12094,2741,"",20,22,14.6,"system water temperature",1.1,-4.8,6.9,643.32,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CC4A","MAWC.CC4A","peat","surface","peat_surface",14,"Canyon Creek",NA,44.135311,-107.12094,2741,"",3,5,14.6,"system water temperature",1.1,-4.8,6.9,643.32,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CC4B","MAWC.CC4B","peat","deep","peat_deep",15,"Canyon Creek",NA,44.135311,-107.12094,2741,"",20,22,14.6,"system water temperature",1.1,-4.8,6.9,643.32,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CL1A","MAWC.CL1A","peat","surface","peat_surface",16,"Crystal Lake",NA,37.956666,-107.66446,2933,"",1,3,20.3,"system water temperature",2.8,-5.1,10.7,839.38,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CL1B","MAWC.CL1B","peat","deep","peat_deep",17,"Crystal Lake",NA,37.956666,-107.66446,2933,"",13,15,20.3,"system water temperature",2.8,-5.1,10.7,839.38,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CL2A","MAWC.CL2A","peat","surface","peat_surface",18,"Crystal Lake",NA,37.956666,-107.66446,2933,"",3,5,20.3,"system water temperature",2.8,-5.1,10.7,839.38,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CL2B","MAWC.CL2B","peat","deep","peat_deep",19,"Crystal Lake",NA,37.956666,-107.66446,2933,"",10,12,20.3,"system water temperature",2.8,-5.1,10.7,839.38,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CL3A","MAWC.CL3A","peat","surface","peat_surface",20,"Crystal Lake",NA,37.956666,-107.66446,2933,"",3,5,20.3,"system water temperature",2.8,-5.1,10.7,839.38,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CL3B","MAWC.CL3B","peat","deep","peat_deep",21,"Crystal Lake",NA,37.956666,-107.66446,2933,"",14,16,20.3,"system water temperature",2.8,-5.1,10.7,839.38,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CL4A","MAWC.CL4A","peat","surface","peat_surface",22,"Crystal Lake",NA,37.956666,-107.66446,2933,"",3,5,20.3,"system water temperature",2.8,-5.1,10.7,839.38,"PRISM 1991-2020 800-m",NA,NA,NA,NA
