"","sample_type_depth","Phylum","mean_percent"
"1","sediment_deep","Chloroflexi",20.8749765204388
"2","sediment_deep","Planctomycetota",10.3694280256921
"3","sediment_deep","Crenarchaeota",9.34901239476888
"4","sediment_deep","Acidobacteriota",7.97439081211228
"5","sediment_deep","Verrucomicrobiota",4.71286631164757
"6","sediment_deep","Unassigned",3.73013995038189
"7","sediment_deep","Bacteroidota",3.48668434443845
"8","sediment_deep","Halobacterota",3.34373345758189
"9","sediment_deep","Thermoplasmatota",3.16126372487077
"10","sediment_deep","Desulfobacterota",2.75900090503036
"11","sediment_deep","Nanoarchaeota",2.71130995216268
"12","sediment_deep","Proteobacteria",2.69996657974147
"13","sediment_deep","Sva0485",2.60409678702025
"14","sediment_deep","Armatimonadota",1.45622068104144
"15","sediment_deep","Latescibacterota",1.43646125811417
"16","sediment_deep","Actinobacteriota",1.3318094996475
"17","sediment_deep","Methylomirabilota",1.26387123686669
"18","sediment_deep","Spirochaetota",1.19788452202932
"19","sediment_deep","Nitrospirota",0.941255967467696
"20","sediment_deep","WOR-1",0.834530689311128
"21","sediment_deep","Patescibacteria",0.765372709065672
"22","sediment_deep","TA06",0.705728525044459
"23","sediment_deep","Firmicutes",0.670966577302034
"24","sediment_deep","Aenigmarchaeota",0.638766036235366
"25","sediment_deep","Micrarchaeota",0.624007454913144
"26","sediment_deep","Fibrobacterota",0.500450075744455
"27","sediment_deep","Gemmatimonadota",0.459833484171726
"28","sediment_deep","Cyanobacteria",0.442025609187888
"29","sediment_deep","Myxococcota",0.429462519302029
"30","sediment_deep","Hadarchaeota",0.420558581810109
"31","sediment_deep","Zixibacteria",0.373843402914149
"32","sediment_deep","Hydrogenedentes",0.358231019366674
"33","sediment_deep","Altiarchaeota",0.296391343909097
"34","sediment_deep","Caldatribacteriota",0.288829095628289
"35","sediment_deep","Sumerlaeota",0.288829095628289
"36","sediment_deep","Euryarchaeota",0.239186594817177
"37","sediment_deep","Campylobacterota",0.2277212506495
"38","sediment_deep","MBNT15",0.21540210425657
"39","sediment_deep","Elusimicrobiota",0.215158160763641
"40","sediment_deep","Calditrichota",0.207717884229297
"41","sediment_deep","Asgardarchaeota",0.193325218146469
"42","sediment_deep","WS1",0.174419597444448
"43","sediment_deep","Edwardsbacteria",0.145634265278791
"44","sediment_deep","WS2",0.145024406546468
"45","sediment_deep","Modulibacteria",0.114775413423235
"46","sediment_deep","Nitrospinota",0.0968455666929312
"47","sediment_deep","Dependentiae",0.0884295161868705
"48","sediment_deep","NB1-j",0.07818388948384
"49","sediment_deep","FCPU426",0.0746467088363651
"50","sediment_deep","RCP2-54",0.0645230538797993
"51","sediment_deep","WS4",0.0635472799080821
"52","sediment_deep","LCP-89",0.0550092576555567
"53","sediment_deep","Dadabacteria",0.043421941741415
"54","sediment_deep","Caldisericota",0.0417143372909099
"55","sediment_deep","Desantisbacteria",0.0379332131505058
"56","sediment_deep","Bdellovibrionota",0.0331763150383845
"57","sediment_deep","NKB15",0.0314687105878794
"58","sediment_deep","Acetothermia",0.0308588518555562
"59","sediment_deep","Cloacimonadota",0.0302489931232329
"60","sediment_deep","Firestonebacteria",0.0248822362787884
"61","sediment_deep","Poribacteria",0.0191495641949499
"62","sediment_deep","GAL15",0.0186616772090913
"63","sediment_deep","Fermentibacterota",0.0169540727585862
"64","sediment_deep","CK-2C2-2",0.0136608356040407
"65","sediment_deep","PAUC34f",0.00963576797070726
"66","sediment_deep","Iainarchaeota",0.00500084160505061
"67","sediment_deep","Schekmanbacteria",0.00304929366161622
"68","sediment_deep","Fusobacteriota",0.00207351968989903
"69","sediment_deep","AncK6",0.00121971746464649
"70","sediment_deep","WPS-2",0.00121971746464649
"71","sediment_deep","SAR324 clade(Marine group B)",0.000975773971717191
"72","sediment_deep","10bav-F6",0.000853802225252542
"73","sediment_deep","Margulisbacteria",0.000853802225252542
"74","sediment_deep","Deinococcota",0.000487886985858596
"75","sediment_deep","Deferrisomatota",0.000243943492929298
"76","sediment_deep","Hydrothermarchaeota",0.000243943492929298
"77","sediment_deep","Entotheonellaeota",0.000121971746464649
"78","sediment_deep","Abditibacteriota",0
"79","sediment_deep","BHI80-139",0
"80","sediment_deep","DTB120",0
"81","sediment_deep","MAT-CR-M4-B07",0
"82","sediment_deep","Synergistota",0
"83","sediment_deep","TX1A-33",0
"84","sediment_deep","Thermotogota",0
"85","sediment_surface","Chloroflexi",15.8571776328468
"86","sediment_surface","Proteobacteria",11.2415602505976
"87","sediment_surface","Verrucomicrobiota",9.01130258678108
"88","sediment_surface","Bacteroidota",7.42309135722328
"89","sediment_surface","Planctomycetota",7.13553975515006
"90","sediment_surface","Acidobacteriota",7.09463000341478
"91","sediment_surface","Cyanobacteria",5.1842122168014
"92","sediment_surface","Desulfobacterota",4.96275860203602
"93","sediment_surface","Halobacterota",3.44630848657585
"94","sediment_surface","Unassigned",2.75912608655962
"95","sediment_surface","Actinobacteriota",2.65964100847609
"96","sediment_surface","Crenarchaeota",2.26026378337441
"97","sediment_surface","Nanoarchaeota",2.23220172226674
"98","sediment_surface","Latescibacterota",1.46683436283907
"99","sediment_surface","Thermoplasmatota",1.33193361124917
"100","sediment_surface","Myxococcota",1.32525619309403
"101","sediment_surface","Sva0485",1.06745713773739
"102","sediment_surface","Spirochaetota",1.0501296602462
"103","sediment_surface","Patescibacteria",0.974395904967661
"104","sediment_surface","Nitrospirota",0.896633566958444
"105","sediment_surface","Methylomirabilota",0.833578453746623
"106","sediment_surface","Armatimonadota",0.716681373891464
"107","sediment_surface","Firmicutes",0.667826339794369
"108","sediment_surface","Euryarchaeota",0.497425390417651
"109","sediment_surface","Nitrospinota",0.408928468791945
"110","sediment_surface","Gemmatimonadota",0.386614058754518
"111","sediment_surface","Elusimicrobiota",0.356776987757503
"112","sediment_surface","Fibrobacterota",0.333786383476517
"113","sediment_surface","WOR-1",0.282480145246523
"114","sediment_surface","Micrarchaeota",0.275211057128271
"115","sediment_surface","Hydrogenedentes",0.237682276610779
"116","sediment_surface","TA06",0.235822742440994
"117","sediment_surface","Aenigmarchaeota",0.204633282956862
"118","sediment_surface","Bdellovibrionota",0.185446271295892
"119","sediment_surface","Sumerlaeota",0.185446271295892
"120","sediment_surface","Altiarchaeota",0.174035493435844
"121","sediment_surface","WS1",0.169048560889601
"122","sediment_surface","Zixibacteria",0.154933006055319
"123","sediment_surface","Cloacimonadota",0.138704344209918
"124","sediment_surface","NB1-j",0.137267431442356
"125","sediment_surface","Modulibacteria",0.136084091516129
"126","sediment_surface","Dependentiae",0.131688828932999
"127","sediment_surface","MBNT15",0.129575721921879
"128","sediment_surface","FCPU426",0.126194750704087
"129","sediment_surface","WS2",0.118080419781386
"130","sediment_surface","Asgardarchaeota",0.114023254320036
"131","sediment_surface","Caldatribacteriota",0.103204146423102
"132","sediment_surface","WS4",0.0751420853154277
"133","sediment_surface","Calditrichota",0.0565467436175716
"134","sediment_surface","Hadarchaeota",0.0447133443552995
"135","sediment_surface","Firestonebacteria",0.0382049747610499
"136","sediment_surface","Caldisericota",0.0308513623623522
"137","sediment_surface","NKB15",0.0283156339490082
