sample_id,sample_type,surface_or_deep,sample_type_depth,sample_number,site_name,mountain_range,latitude,longitude,elevation,notes,depth_start,depth_end,measured_temperature,temperature_type,Tann,Tmin,Tmax,MAP,climate_data_source,Tann_snotel,Tmin_snotel,Tmax_snotel,MAP_snotel
Calder.Blank3,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
Calder.JC_Blank1,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
Calder.JC_Blank2,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
Calder.JC_Blank3,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
Calder.JC7_Blank1,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
Calder.JC7_Blank2,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
Calder.JC7_Blank3,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
Calder.JC7_Blank4,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
Calder.JC7_Blank5,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
Calder.JC7_Blank6,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
Calder.JC7_Blank7,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
MAWC.BLANK,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
MAWC.BLANK1_DG1,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
MAWC.BLANK2_DG2,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
MAWC.BLANK3_DG3,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
MAWC.BLANK4_DG4_BLANK4_DG4,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
SNOTEL.IOANA_D12,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
SNOTEL.IOANA_E12,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
SNOTEL.IOANA_F12,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
SNOTEL.IOANA_H12,blank,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
SNOTEL.IOANA_G12,MC_71,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,
MAWC.CB1A_S,peat,surface,peat_surface,1,Clay Butte fen,,44.936944,-109.61247,2742,,3,5,14,system water temperature,0.8,-5.1,6.8,860.65,PRISM 1991-2020 800-m,,,,
MAWC.CB1B_S,peat,deep,peat_deep,2,Clay Butte fen,,44.936944,-109.61247,2742,,5,7,14,system water temperature,0.8,-5.1,6.8,860.65,PRISM 1991-2020 800-m,,,,
MAWC.CB2B_S,peat,deep,peat_deep,3,Clay Butte fen,,44.936944,-109.61247,2742,,5,7,14,system water temperature,0.8,-5.1,6.8,860.65,PRISM 1991-2020 800-m,,,,
MAWC.CB3A_S,peat,surface,peat_surface,4,Clay Butte fen,,44.936944,-109.61247,2742,,3,5,14,system water temperature,0.8,-5.1,6.8,860.65,PRISM 1991-2020 800-m,,,,
MAWC.CB3B_S,peat,deep,peat_deep,5,Clay Butte fen,,44.936944,-109.61247,2742,,13,15,14,system water temperature,0.8,-5.1,6.8,860.65,PRISM 1991-2020 800-m,,,,
MAWC.CB4B_S,peat,deep,peat_deep,6,Clay Butte fen,,44.936944,-109.61247,2742,,5,7,14,system water temperature,0.8,-5.1,6.8,860.65,PRISM 1991-2020 800-m,,,,
MAWC.CB5B_S,peat,deep,peat_deep,7,Clay Butte fen,,44.936944,-109.61247,2742,,5,7,14,system water temperature,0.8,-5.1,6.8,860.65,PRISM 1991-2020 800-m,,,,
