"","sample_id","sample_type","sample_number","site_name","mountain_range","latitude","longitude","elevation","notes","depth_start","depth_end","top_bottom","measured_temperature","temperature_type","Tann","Tmin","Tmax","MAP","climate_data_source","Tann_snotel","Tmin_snotel","Tmax_snotel","MAP_snotel"
"MAWC.CB1A_S","MAWC.CB1A_S","peat",1,"Clay Butte fen",NA,44.936944,-109.61247,2742,"",3,5,NA,"14","system water temperature",0.8,-5.1,6.8,860.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CB1B_S","MAWC.CB1B_S","peat",2,"Clay Butte fen",NA,44.936944,-109.61247,2742,"",5,7,NA,"14","system water temperature",0.8,-5.1,6.8,860.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CB2B_S","MAWC.CB2B_S","peat",3,"Clay Butte fen",NA,44.936944,-109.61247,2742,"",5,7,NA,"14","system water temperature",0.8,-5.1,6.8,860.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CB3A_S","MAWC.CB3A_S","peat",4,"Clay Butte fen",NA,44.936944,-109.61247,2742,"",3,5,NA,"14","system water temperature",0.8,-5.1,6.8,860.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CB3B_S","MAWC.CB3B_S","peat",5,"Clay Butte fen",NA,44.936944,-109.61247,2742,"",13,15,NA,"14","system water temperature",0.8,-5.1,6.8,860.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CB4B_S","MAWC.CB4B_S","peat",6,"Clay Butte fen",NA,44.936944,-109.61247,2742,"",5,7,NA,"14","system water temperature",0.8,-5.1,6.8,860.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CB5B_S","MAWC.CB5B_S","peat",7,"Clay Butte fen",NA,44.936944,-109.61247,2742,"",5,7,NA,"14","system water temperature",0.8,-5.1,6.8,860.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CC1B","MAWC.CC1B","peat",9,"Canyon Creek",NA,44.135311,-107.120943,2741,"",14,16,NA,"14.6","system water temperature",1.1,-4.8,6.9,643.32,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CC2A","MAWC.CC2A","peat",10,"Canyon Creek",NA,44.135311,-107.120943,2741,"",3,5,NA,"14.6","system water temperature",1.1,-4.8,6.9,643.32,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CC2B","MAWC.CC2B","peat",11,"Canyon Creek",NA,44.135311,-107.120943,2741,"",13,15,NA,"14.6","system water temperature",1.1,-4.8,6.9,643.32,"PRISM 1991-2020 800-m",NA,NA,NA,NA
