Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),,sample_id,,,Tann,Tmin,Tmax,MAP
GG1A,-107.8949,37.8137,3051,Annual,765.65,-5.6,2.4,10.4,,GG1A,1,,2.4,-5.6,10.4,765.65
GG1B,-107.8949,37.8137,3051,Annual,765.65,-5.6,2.4,10.4,,GG1B,1,,2.4,-5.6,10.4,765.65
GG2A,-107.8949,37.8137,3051,Annual,765.65,-5.6,2.4,10.4,,GG2A,1,,2.4,-5.6,10.4,765.65
GG2B,-107.8949,37.8137,3051,Annual,765.65,-5.6,2.4,10.4,,GG2B,1,,2.4,-5.6,10.4,765.65
GG3A,-107.8949,37.8137,3051,Annual,765.65,-5.6,2.4,10.4,,GG3A,1,,2.4,-5.6,10.4,765.65
GG3B,-107.8949,37.8137,3051,Annual,765.65,-5.6,2.4,10.4,,GG3B,1,,2.4,-5.6,10.4,765.65
GG4A,-107.8949,37.8137,3051,Annual,765.65,-5.6,2.4,10.4,,GG4A,1,,2.4,-5.6,10.4,765.65
GG4B,-107.8949,37.8137,3051,Annual,765.65,-5.6,2.4,10.4,,GG4B,1,,2.4,-5.6,10.4,765.65
GG5A,-107.8949,37.8137,3051,Annual,765.65,-5.6,2.4,10.4,,GG5A,1,,2.4,-5.6,10.4,765.65
GG5B,-107.8949,37.8137,3051,Annual,765.65,-5.6,2.4,10.4,,GG5B,1,,2.4,-5.6,10.4,765.65
TL1A,-107.8927,37.8158,3051,Annual,765.65,-5.6,2.4,10.4,,TL1A,1,,2.4,-5.6,10.4,765.65
TL1B,-107.8927,37.8158,3051,Annual,765.65,-5.6,2.4,10.4,,TL1B,1,,2.4,-5.6,10.4,765.65
TL2A,-107.8927,37.8158,3051,Annual,765.65,-5.6,2.4,10.4,,TL2A,1,,2.4,-5.6,10.4,765.65
TL2B,-107.8927,37.8158,3051,Annual,765.65,-5.6,2.4,10.4,,TL2B,1,,2.4,-5.6,10.4,765.65
TL3A,-107.8927,37.8158,3051,Annual,765.65,-5.6,2.4,10.4,,TL3A,1,,2.4,-5.6,10.4,765.65
TL3B,-107.8927,37.8158,3051,Annual,765.65,-5.6,2.4,10.4,,TL3B,1,,2.4,-5.6,10.4,765.65
TL4A,-107.8927,37.8158,3051,Annual,765.65,-5.6,2.4,10.4,,TL4A,1,,2.4,-5.6,10.4,765.65
TL4B,-107.8927,37.8158,3051,Annual,765.65,-5.6,2.4,10.4,,TL4B,1,,2.4,-5.6,10.4,765.65
TL5A,-107.8927,37.8158,3051,Annual,765.65,-5.6,2.4,10.4,,TL5A,1,,2.4,-5.6,10.4,765.65
TL5B,-107.8927,37.8158,3051,Annual,765.65,-5.6,2.4,10.4,,TL5B,1,,2.4,-5.6,10.4,765.65
LZ1A,-107.9061,37.8348,3332,Annual,877.38,-4.2,2.2,8.7,,LZ1A,1,,2.2,-4.2,8.7,877.38
LZ1B,-107.9061,37.8348,3332,Annual,877.38,-4.2,2.2,8.7,,LZ1B,1,,2.2,-4.2,8.7,877.38
LZ2A,-107.9061,37.8348,3332,Annual,877.38,-4.2,2.2,8.7,,LZ2A,1,,2.2,-4.2,8.7,877.38
LZ2B,-107.9061,37.8348,3332,Annual,877.38,-4.2,2.2,8.7,,LZ2B,1,,2.2,-4.2,8.7,877.38
LZ3A,-107.9061,37.8348,3332,Annual,877.38,-4.2,2.2,8.7,,LZ3A,1,,2.2,-4.2,8.7,877.38
